feature,importance_1d,importance_2d,importance_3d,importance_4d,importance_5d,importance_6d,importance_7d,importance_8d,importance_9d,importance_10d,importance_11d,importance_12d,importance_13d,importance_14d,importance_15d,importance_16d,importance_17d,importance_18d,importance_19d,importance_20d,importance_mean
volatility_20d,249,360,339,336,401,431,436,386,400,428,393,382,378,437,370,413,437,376,329,368,382.45
ma_5d,178,176,212,255,316,310,342,394,311,324,311,379,343,381,329,371,415,377,386,435,327.25
volatility_5d,316,351,314,313,312,287,311,311,297,313,311,299,341,330,310,307,349,325,328,306,316.55
distance_from_ma_5d,462,423,405,286,316,246,311,279,314,301,281,262,272,265,345,313,312,270,282,329,313.7
macd_signal,220,228,252,271,296,265,256,276,330,300,302,332,367,377,333,359,400,343,314,332,307.65
macd_diff,242,264,249,293,339,315,343,314,334,374,323,321,288,282,326,337,313,277,282,295,305.55
macd_diff_zscore,324,304,314,348,338,324,308,303,306,233,315,285,243,246,285,310,338,318,283,313,301.9
volatility_20d_zscore,237,305,320,278,320,382,331,347,284,331,298,335,335,284,236,225,256,277,242,291,295.7
volatility_5d_zscore,332,313,294,222,245,262,242,281,273,316,304,279,307,337,343,298,300,295,283,250,288.8
macd,202,261,302,304,324,297,347,271,241,266,216,262,228,279,273,299,325,312,328,371,285.4
log_volume,221,222,268,223,254,292,283,280,289,336,273,305,326,303,295,295,270,245,281,277,276.9
volume_ratio_5d,395,398,317,239,254,269,232,274,286,290,209,166,217,235,259,280,322,257,239,243,269.05
gk_volatility,422,330,337,252,245,259,299,265,244,263,209,259,215,253,235,205,264,221,242,238,262.85
rsi_14d_zscore,264,223,256,229,246,299,264,237,212,244,264,270,268,255,245,239,292,269,233,268,253.85
momentum_20d_zscore,230,218,255,301,234,301,290,257,247,288,289,234,216,214,228,233,271,261,278,231,253.8
momentum_20d,257,314,270,248,240,223,210,181,217,223,265,266,258,280,271,305,251,260,242,244,251.25
rsi_14d,291,238,265,253,264,263,255,239,235,229,252,240,278,252,235,215,255,285,236,206,249.3
momentum_vol_20d,245,287,276,281,289,249,231,263,226,245,252,229,196,227,193,199,238,257,212,252,242.35
volume_ratio_5d_zscore,303,317,258,234,195,222,254,199,201,226,237,253,205,244,276,222,293,240,246,216,242.05
distance_from_ma_20d_zscore,256,229,244,257,232,241,250,223,211,231,223,249,239,237,194,211,246,243,250,244,235.5
momentum_5d_zscore,229,251,285,286,240,260,218,207,182,205,199,192,168,230,199,233,229,324,204,244,229.25
momentum_5d,281,293,225,229,296,265,234,234,187,202,206,217,198,209,195,209,188,198,217,174,222.85
volume_ratio_20d_zscore,314,309,230,188,225,254,223,195,161,240,218,186,202,230,226,214,228,191,201,200,221.75
distance_from_ma_5d_zscore,280,248,217,213,239,227,239,167,211,198,188,201,226,207,234,164,232,232,192,193,215.4
ma_20d,97,110,153,167,173,197,221,215,212,224,161,201,239,244,238,287,253,261,311,333,214.85
momentum_vol_5d,245,219,314,250,239,185,188,196,187,264,175,198,175,186,209,210,195,203,178,175,209.55
distance_from_ma_20d,182,164,226,188,232,289,237,212,241,195,191,180,185,187,203,165,214,215,236,228,208.5
volume_ratio_20d,318,239,246,228,205,212,184,225,229,195,161,155,141,182,184,210,189,200,167,187,202.85
bb_position_20d,281,208,198,196,166,192,177,232,226,210,197,160,146,167,175,149,136,173,154,154,184.85
